ds,temp,temp_min,temp_max
2024-06-13,14.000000000000002,6.975000000000001,19.545000000000005
2024-06-14,15.959999999999999,12.885000000000002,20.490000000000002
2024-06-15,14.55,11.420000000000002,17.715000000000007
2024-06-16,15.48,11.865000000000002,19.05
2024-06-17,17.450000000000003,12.805000000000001,22.135
2024-06-18,19.555000000000003,14.625000000000002,24.575000000000006
2024-06-19,18.855,15.445000000000002,22.525000000000006
2024-06-20,18.535,15.125000000000004,22.745
2024-06-21,18.000000000000004,14.960000000000003,21.615000000000002
2024-06-22,15.855,13.400000000000002,18.960000000000004
2024-06-23,16.595000000000002,11.365000000000002,21.675
2024-06-24,19.430000000000003,13.470000000000002,24.705000000000005
2024-06-25,21.715000000000007,15.945000000000002,27.465000000000003
2024-06-26,22.96,17.385,28.310000000000002
2024-06-27,22.585000000000004,17.825000000000003,27.340000000000007
2024-06-28,20.125000000000004,15.160000000000002,24.505000000000006
2024-06-29,19.325000000000006,14.895000000000001,24.680000000000003
2024-06-30,17.990000000000002,14.570000000000002,22.195000000000004
2024-07-01,17.265000000000004,12.99,20.645000000000003
2024-07-02,15.645000000000001,12.690000000000001,18.910000000000004
2024-07-03,15.54,12.140000000000002,19.115000000000006
2024-07-04,17.400000000000002,14.085000000000003,21.175000000000004
2024-07-05,17.965000000000003,11.510000000000002,23.900000000000002
2024-07-06,17.510000000000005,13.685,20.155000000000005
2024-07-07,15.325000000000001,9.985000000000001,19.770000000000003
2024-07-08,17.995000000000005,11.260000000000002,24.705000000000005
2024-07-09,21.395000000000007,16.825000000000006,26.77
2024-07-10,20.57,16.915000000000003,24.595000000000002
2024-07-11,20.265000000000004,16.0,25.140000000000004
2024-07-12,18.100000000000005,14.190000000000001,21.590000000000003
2024-07-13,16.235000000000003,11.17,20.935000000000002
2024-07-14,18.025000000000002,12.045,23.490000000000002
2024-07-15,19.96,14.525,26.030000000000005
2024-07-16,19.090000000000003,15.500000000000002,22.720000000000002
2024-07-17,19.000000000000004,12.655000000000003,24.62
2024-07-18,22.350000000000005,15.495000000000001,29.220000000000006
2024-07-19,23.940000000000005,17.900000000000002,29.805
2024-07-20,23.230000000000004,17.910000000000004,29.195
2024-07-21,20.160000000000004,17.305000000000003,23.770000000000003
2024-07-22,18.640000000000004,14.335000000000003,22.044999999999998
2024-07-23,19.650000000000002,15.845000000000002,23.300000000000004
2024-07-24,19.270000000000007,14.47,23.720000000000002
2024-07-25,20.295000000000005,14.195000000000002,25.625000000000007
2024-07-26,21.190000000000005,17.110000000000003,25.520000000000003
2024-07-27,20.280000000000005,16.805000000000003,23.270000000000003
2024-07-28,20.810000000000002,14.255,26.675000000000004
2024-07-29,24.430000000000003,18.235000000000003,31.360000000000003
2024-07-30,26.490000000000006,20.34,33.23500000000001
2024-07-31,25.735000000000003,20.895000000000003,32.45000000000001
2024-08-01,24.105000000000004,19.720000000000006,28.915000000000003
2024-08-02,22.12,17.945000000000004,27.190000000000005
2024-08-03,20.080000000000002,15.51,24.175
2024-08-04,19.965000000000007,16.165000000000003,23.860000000000003
2024-08-05,20.890000000000004,14.525000000000002,27.075000000000003
2024-08-06,21.95,16.435000000000002,27.040000000000003
2024-08-07,20.305000000000003,15.320000000000002,24.295
2024-08-08,20.385,14.690000000000001,25.895
